source,date,week,rating,title,text,theme_label
Play Store,2026-08-28,2026-W35,1,,"worst app for trading, never use this. I can't close my demat account easily. their team is not respond on time.",Onboarding & KYC
Play Store,2026-08-28,2026-W35,4,,ABHI ABHI JO UPDATE HUVA HAI GALAT HUVA HAI CANDLE CHART ME BUY KARTE TIME QUANTITY PLUS KATTE TIME BUY KA BUTTON BAJU ME HI RAKHA GAYA HAI PEHLE NICHE THA BUY KA BUTTON ABHI THIDA PROBLEM AA RAHA HAI *PLEASE CHANGE*,Orders & Investing
Play Store,2026-08-27,2026-W35,5,,"Re: best UX Love the app. Best for beginners rather than Zerodha, Upstox. Main reason being no maintenance charges and better UI. But there's an issue for people who have been in the market for a long time. 1) No way for in depth research. For eg. Indicators don't work properly in the app. Need better UI for research in it.",App Performance & UX
Play Store,2026-08-27,2026-W35,1,,"for contact customer care waited more than 15min. then also not connected and tried 3 times. still not connected, oder delivered at 9:15 am with more than targetted price","Charges, Statements & Support"
Play Store,2026-08-27,2026-W35,1,,"Pathetic Customer Support ​Absolutely frustrating customer service experience. The IVR initially stated a 5-minute wait time, but I was kept on hold for over 20 minutes with zero progress and repetitive, unhelpful automated responses. For a financial investment platform where timely resolution is critical, this level of support is unacceptable. Extremely disappointed with Groww's service.","Charges, Statements & Support"
Play Store,2026-08-27,2026-W35,3,,there is a problem [name] any message as sms or in upi when I withdraw the money please fix it immediately.,Payments & Withdrawals
Play Store,2026-08-27,2026-W35,5,,this platform so easy good,Unthemed
Play Store,2026-08-27,2026-W35,5,,structure to understand very easy for beginners too compare to other,Unthemed
Play Store,2026-08-27,2026-W35,5,,great,Unthemed
Play Store,2026-08-27,2026-W35,5,,Best For Beginners And Easy Interface. Great I've Been Using 5 years.,Unthemed
Play Store,2026-08-26,2026-W35,1,,new update sucks. the navigation buttons are auto hiding while Opening the charts in mobile creating a lot of irritation.,App Performance & UX
Play Store,2026-08-26,2026-W35,3,,IN TABLET WHY THE APP DOESNT TURN IN HORIZONTAL DIRECTION.. PLEASE RESOLVE THIS.,App Performance & UX
Play Store,2026-08-26,2026-W35,1,,charges very High,"Charges, Statements & Support"
Play Store,2026-08-26,2026-W35,3,,SL me support kar sakte hai,"Charges, Statements & Support"
Play Store,2026-08-26,2026-W35,5,,"please offer and update the Groww app & Groww Credit Personal loan offer enabled,[name] request for you.every time and every month I have to pay before EMI and due payment. please update and do the needful urgently. Regards",Payments & Withdrawals
Play Store,2026-08-26,2026-W35,1,,It's taking too much to settle an account. Yesterday my trade is over and now [name] trade because my account is not settled. Very slow services. it's losses Grow also. [name] changing the broker. There are so many brokers who given immediate trade. Thank you,Payments & Withdrawals
Play Store,2026-08-26,2026-W35,5,,one of the best app,Unthemed
Play Store,2026-08-26,2026-W35,5,,very good and very nice groww app,Unthemed
